294284,8/23/2013 5:25,8/23/2013 5:54,668,1710,52,Michigan Ave & Lake St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.886,-87.6241,The Loop,41.886,-87.6241,0
294286,8/23/2013 5:27,8/23/2013 5:54,587,1607,52,Michigan Ave & Lake St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.886,-87.6241,The Loop,41.886,-87.6241,0
294292,8/23/2013 5:37,8/23/2013 5:46,1104,526,195,Columbus Dr & Randolph St,5,State St & Harrison St,Customer,null,null,The Loop,41.8847,-87.6195,The Loop,41.874,-87.6277,1377.07920094705
294304,8/23/2013 5:50,8/23/2013 5:54,1468,190,169,Canal St & Harrison St,191,Canal St & Monroe St,Customer,null,null,Near West Side,41.8743,-87.6396,Near West Side,41.8807,-87.6395,706.78909906624
294306,8/23/2013 5:59,8/23/2013 6:04,1609,309,190,Southport Ave & Wrightwood Ave,67,Sheffield Ave & Fullerton Ave,Customer,null,null,Lincoln Park,41.9289,-87.6632,Lincoln Park,41.9256,-87.6537,865.17106357215
294308,8/23/2013 6:02,8/23/2013 6:11,104,576,48,Larrabee St & Kingsbury St,144,Larrabee St & Webster Ave,Customer,null,null,Near North Side,41.8978,-87.6429,Lincoln Park,41.9217,-87.644,2665.79921726612
294312,8/23/2013 6:05,8/23/2013 6:13,1175,463,94,Lincoln Ave & Armitage Ave,67,Sheffield Ave & Fullerton Ave,Customer,null,null,Lincoln Park,41.9183,-87.6363,Lincoln Park,41.9256,-87.6537,1657.17585340397
294313,8/23/2013 6:06,8/23/2013 6:23,1444,1049,42,Wabash Ave & Cermak Rd,169,Canal St & Harrison St,Customer,null,null,Near South Side,41.8532,-87.6253,Near West Side,41.8743,-87.6396,2624.34274695965
294319,8/23/2013 6:15,8/23/2013 6:22,52,470,24,Fairbanks Ct & Grand Ave,98,LaSalle St & Washington St,Customer,null,null,Near North Side,41.8919,-87.6206,The Loop,41.8827,-87.6325,1421.40603801999
294332,8/23/2013 6:21,8/23/2013 6:30,1016,485,239,Western Ave & Leland Ave,243,Lincoln Ave & Leavitt St,Customer,null,null,Lincoln Square,41.9666,-87.6885,North Center,41.9624,-87.6841,586.010052016739
294333,8/23/2013 6:22,8/23/2013 8:08,1709,6383,36,Franklin St & Jackson Blvd,33,State St & Van Buren St,Customer,null,null,The Loop,41.8777,-87.6353,The Loop,41.8772,-87.6278,623.427596355935
294344,8/23/2013 6:26,8/23/2013 6:38,544,742,192,Canal St & Adams St,195,Columbus Dr & Randolph St,Customer,null,null,Near West Side,41.8793,-87.6399,The Loop,41.8847,-87.6195,1797.7582454692
294354,8/23/2013 6:29,8/23/2013 6:41,1081,726,5,State St & Harrison St,178,State St & 19th St,Customer,null,null,The Loop,41.874,-87.6277,Near West Side,41.8566,-87.6275,1928.70744549038
294360,8/23/2013 6:32,8/23/2013 7:11,1191,2301,153,Southport Ave & Wellington Ave,98,LaSalle St & Washington St,Customer,null,null,Lake View,41.9357,-87.6636,The Loop,41.8827,-87.6325,6432.69269235756
294362,8/23/2013 6:33,8/23/2013 6:40,1132,412,74,Kingsbury St & Erie St,91,Clinton St & Washington Blvd,Customer,null,null,Near North Side,41.8938,-87.6419,Near West Side,41.8834,-87.6412,1163.52801005887
294364,8/23/2013 6:34,8/23/2013 6:39,1016,320,243,Lincoln Ave & Leavitt St,239,Western Ave & Leland Ave,Customer,null,null,North Center,41.9624,-87.6841,Lincoln Square,41.9666,-87.6885,586.010052016808
294387,8/23/2013 6:39,8/23/2013 6:55,759,975,186,Ogden Ave & Race Ave,43,Michigan Ave & Washington St,Customer,null,null,West Town,41.8918,-87.6588,The Loop,41.8839,-87.6246,2963.29047937953
294401,8/23/2013 6:41,8/23/2013 6:52,1568,686,175,Wells St & Polk St,198,Halsted St & Madison St,Customer,null,null,The Loop,41.8724,-87.6335,Near West Side,41.8817,-87.6478,1577.74849039745
294402,8/23/2013 6:41,8/23/2013 6:46,828,289,224,Halsted St & Willow St,28,Larrabee St & Menomonee St,Customer,null,null,Lincoln Park,41.9138,-87.6488,Lincoln Park,41.9147,-87.6433,468.780773063325
294403,8/23/2013 6:41,8/23/2013 7:04,1589,1355,157,Lake Shore Dr & Wellington Ave,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,Lake View,41.9367,-87.6368,Near North Side,41.8969,-87.6217,4589.22133046113
294426,8/23/2013 6:47,8/23/2013 7:23,1610,2184,28,Larrabee St & Menomonee St,76,Lake Shore Dr & Monroe St,Customer,null,null,Lincoln Park,41.9147,-87.6433,The Loop,41.881,-87.6167,4346.61934295885
294439,8/23/2013 6:53,8/23/2013 7:05,243,705,33,State St & Van Buren St,75,Canal St & Jackson Blvd,Customer,null,null,The Loop,41.8772,-87.6278,Near West Side,41.8781,-87.64,1014.85496978904
294446,8/23/2013 6:54,8/23/2013 8:02,267,4103,118,Sedgwick St & North Ave,118,Sedgwick St & North Ave,Customer,null,null,Lincoln Park,41.9106,-87.6386,Lincoln Park,41.9106,-87.6386,0
294451,8/23/2013 6:55,8/23/2013 7:00,208,287,115,Sheffield Ave & Wellington Ave,153,Southport Ave & Wellington Ave,Customer,null,null,Lake View,41.9363,-87.6536,Lake View,41.9357,-87.6636,832.173478272039
294455,8/23/2013 6:55,8/23/2013 7:00,245,268,115,Sheffield Ave & Wellington Ave,153,Southport Ave & Wellington Ave,Customer,null,null,Lake View,41.9363,-87.6536,Lake View,41.9357,-87.6636,832.173478272039
294457,8/23/2013 6:55,8/23/2013 7:39,1645,2659,153,Southport Ave & Wellington Ave,90,Millennium Park,Customer,null,null,Lake View,41.9357,-87.6636,The Loop,41.881,-87.6241,6902.96633095222
294462,8/23/2013 6:56,8/23/2013 7:37,1687,2472,13,Wilton Ave & Diversey Pkwy,37,Dearborn St & Adams St,Customer,null,null,Lincoln Park,41.9325,-87.6527,The Loop,41.8794,-87.6298,6200.76787618846
294467,8/23/2013 6:57,8/23/2013 8:34,1334,5857,57,Clinton St & Roosevelt Rd,33,State St & Van Buren St,Customer,null,null,Near West Side,41.8671,-87.6411,The Loop,41.8772,-87.6278,1567.84735281168
294469,8/23/2013 6:57,8/23/2013 7:12,1145,897,86,Eckhart Park,211,St Clair St & Erie St,Customer,null,null,West Town,41.8964,-87.661,Near North Side,41.8944,-87.6227,3187.28850217142
294478,8/23/2013 6:58,8/23/2013 7:10,872,755,45,Michigan Ave & Congress Pkwy,97,Museum Campus,Customer,null,null,The Loop,41.8761,-87.6244,Near South Side,41.8652,-87.6178,1326.7605586811
294486,8/23/2013 6:59,8/23/2013 7:05,1508,351,175,Wells St & Polk St,174,Canal St & Madison St,Customer,null,null,The Loop,41.8724,-87.6335,Near West Side,41.8821,-87.6398,1199.76428704559
294492,8/23/2013 7:01,8/23/2013 7:21,1396,1208,240,Sheridan Rd & Irving Park Rd,225,Halsted St & Dickens Ave,Customer,null,null,Lake View,41.9542,-87.6544,Lincoln Park,41.9199,-87.6488,3838.72642269708
294497,8/23/2013 7:01,8/23/2013 7:21,815,1158,144,Larrabee St & Webster Ave,100,Orleans St & Merchandise Mart Plaza,Customer,null,null,Lincoln Park,41.9217,-87.644,Near North Side,41.8882,-87.6364,3774.99494114542
294504,8/23/2013 7:02,8/23/2013 7:21,444,1143,199,Wabash Ave & Grand Ave,24,Fairbanks Ct & Grand Ave,Customer,null,null,Near North Side,41.8917,-87.6269,Near North Side,41.8919,-87.6206,524.429044052765
294514,8/23/2013 7:04,8/23/2013 7:10,932,371,114,Sheffield Ave & Addison St,115,Sheffield Ave & Wellington Ave,Customer,null,null,Lake View,41.9469,-87.6544,Lake View,41.9363,-87.6536,1182.63792115821
