CommunityArea,id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
Near North Side,212,Wells St & Hubbard St,30,31,41.889933,-87.634262,In Service,1,1,Wells St & Hubbard St,,Chicago,,,,FALSE,,264
West Town,213,Leavitt St & North Ave,9,15,41.910153,-87.68229,In Service,1,6,Leavitt St & North Ave,,Chicago,,,,FALSE,,244
West Town,214,Damen Ave & Grand Ave,13,15,41.89122,-87.67686,In Service,1,2,Damen Ave & Grand Ave,,Chicago,,,,FALSE,,141
Near West Side,215,Damen Ave & Madison St,10,15,41.88137,-87.67493,In Service,1,4,Damen Ave & Madison St,,Chicago,,,,FALSE,,134
West Town,216,California Ave & Division St,7,15,41.903029,-87.697474,In Service,1,6,California Ave & Division St,,Chicago,,,,FALSE,,256
Near West Side,217,May St & Fulton St,10,15,41.886773,-87.656001,In Service,1,5,May St & Fulton St,,Chicago,,,,FALSE,,197
Armour Square,218,Wells St & 19th St,9,11,41.856802,-87.633879,In Service,1,2,Wells St & 19th St,,Chicago,,,,FALSE,,180
Logan Square,219,Damen Ave & Cortland St,5,11,41.916027,-87.677411,In Service,1,6,Damen Ave & Cortland St,,Chicago,,,,FALSE,,133
Lake View,220,Hampden Ct & Diversey Pkwy,11,19,41.93262,-87.642385,In Service,1,7,Hampden Ct & Diversey Pkwy,,Chicago,,,,FALSE,,123
Logan Square,222,Milwaukee Ave & Rockwell St,15,19,41.920195,-87.693033,In Service,1,4,Milwaukee Ave & Rockwell St,,Chicago,,,,FALSE,,242
